Cell Name,SITE,LTE_Band,CoSite-Band,cellId,earfcndl,PCI,RachRootSequence,Tac,Latitude,Longitude,Azimuth,Height,Mech. Tilt,LTE Etilt
19764M,19764L,L18,L18,1,1680,156,270,19403,36.01727,5.36586,10,16,0,2
19764N,19764L,L18,L18,2,1680,157,250,19403,36.01727,5.36586,140,16,0,1
19764O,19764L,L18,L18,3,1680,158,260,19403,36.01727,5.36586,220,16,0,1
19769M,19769L,L18,L18,1,1680,63,110,19402,36.08073,5.46759,0,22,0,0
19769N,19769L,L18,L18,2,1680,64,90,19402,36.08073,5.46759,120,22,0,3
19769O,19769L,L18,L18,3,1680,65,100,19402,36.08073,5.46759,220,22,0,0
19772M,19772L,L18,L18+L21,1,1680,15,120,19403,36.3858,5.40908,60,25,4,6
19772N,19772L,L18,L18+L21,2,1680,16,130,19403,36.3858,5.40908,150,25,4,6
19772O,19772L,L18,L18+L21,3,1680,17,140,19403,36.3858,5.40908,340,25,4,6
19772R,19772L,L21,L18+L21,4,150,15,120,19403,36.3858,5.40908,60,25,,0
19772S,19772L,L21,L18+L21,5,150,16,130,19403,36.3858,5.40908,150,25,,0
19772T,19772L,L21,L18+L21,6,150,17,140,19403,36.3858,5.40908,340,25,,0
19773M,19773L,L18,L18+L21,1,1680,51,100,19403,35.91237,5.2885,30,22,0,3
19773N,19773L,L18,L18+L21,2,1680,52,110,19403,35.91237,5.2885,140,22,0,4
19773O,19773L,L18,L18+L21,3,1680,53,120,19403,35.91237,5.2885,260,22,0,2
19773R,19773L,L21,L18+L21,4,150,51,100,19403,35.91237,5.2885,30,22,,0
19773S,19773L,L21,L18+L21,5,150,52,110,19403,35.91237,5.2885,140,22,,0
19773T,19773L,L21,L18+L21,6,150,53,120,19403,35.91237,5.2885,260,22,,0
19774M,19774L,L18,L18,1,1680,54,270,19403,35.93,5.30105,80,22,0,0
19774N,19774L,L18,L18,2,1680,55,280,19403,35.93,5.30105,170,22,1,4
19774O,19774L,L18,L18,3,1680,56,290,19403,35.93,5.30105,270,22,1,4
19775M,19775L,L18,L18+L21,1,1680,66,370,19405,36.16369,5.69478,0,22,1,2
19775N,19775L,L18,L18+L21,2,1680,67,350,19405,36.16369,5.69478,140,22,0,4
19775O,19775L,L18,L18+L21,3,1680,68,360,19405,36.16369,5.69478,250,22,0,3
19775R,19775L,L21,L18+L21,4,150,66,370,19405,36.16369,5.69478,0,22,,0
19775S,19775L,L21,L18+L21,5,150,67,350,19405,36.16369,5.69478,140,22,,0
19775T,19775L,L21,L18+L21,6,150,68,360,19405,36.16369,5.69478,250,22,,0
19776M,19776L,L18,L18+L21,1,1680,72,190,19405,36.16368,5.67744,0,21,0,2
19776N,19776L,L18,L18+L21,2,1680,73,170,19405,36.16368,5.67744,120,21,0,4
19776O,19776L,L18,L18+L21,3,1680,74,180,19405,36.16368,5.67744,240,21,0,2
19776R,19776L,L21,L18+L21,4,150,72,190,19405,36.16368,5.67744,0,21,,0
19776S,19776L,L21,L18+L21,5,150,73,170,19405,36.16368,5.67744,120,21,,0
19776T,19776L,L21,L18+L21,6,150,74,180,19405,36.16368,5.67744,240,21,,0
19777M,19777L,L18,L18+L21,1,1680,27,280,19405,36.14712,5.67292,0,30,0,2
19777N,19777L,L18,L18+L21,2,1680,28,260,19405,36.14712,5.67292,110,30,0,3
19777O,19777L,L18,L18+L21,3,1680,29,270,19405,36.14712,5.67292,300,30,0,2
19777R,19777L,L21,L18+L21,4,150,27,280,19405,36.14712,5.67292,0,30,,0
19777S,19777L,L21,L18+L21,5,150,28,260,19405,36.14712,5.67292,110,30,,0
19777T,19777L,L21,L18+L21,6,150,29,270,19405,36.14712,5.67292,300,30,,0
19778M,19778L,L18,L18+L21,1,1680,120,250,19402,36.21062,5.4429,30,23,0,2
19778N,19778L,L18,L18+L21,2,1680,121,260,19402,36.21062,5.4429,160,23,0,4
19778O,19778L,L18,L18+L21,3,1680,122,270,19402,36.21062,5.4429,280,23,0,5
19778R,19778L,L21,L18+L21,4,150,120,250,19402,36.21062,5.4429,30,23,,0
19778S,19778L,L21,L18+L21,5,150,121,260,19402,36.21062,5.4429,160,23,,0
19778T,19778L,L21,L18+L21,6,150,122,270,19402,36.21062,5.4429,280,23,,0
19780M,19780L,L18,L18+L21,1,1680,483,60,19402,36.19517,5.4381,0,23,0,2
19780N,19780L,L18,L18+L21,2,1680,484,40,19402,36.19517,5.4381,120,23,0,4
19780O,19780L,L18,L18+L21,3,1680,485,50,19402,36.19517,5.4381,240,23,0,4
19780R,19780L,L21,L18+L21,4,150,483,60,19402,36.19517,5.4381,0,23,,0
19780S,19780L,L21,L18+L21,5,150,484,40,19402,36.19517,5.4381,120,23,,0
19780T,19780L,L21,L18+L21,6,150,485,50,19402,36.19517,5.4381,240,23,,0
19782M,19782L,L18,L18+L21,1,1680,12,80,19403,36.301,5.29497,0,13,0,0
19782N,19782L,L18,L18+L21,2,1680,13,60,19403,36.301,5.29497,120,13,0,0
19782O,19782L,L18,L18+L21,3,1680,14,70,19403,36.301,5.29497,220,13,0,0
19782R,19782L,L21,L18+L21,4,150,12,80,19403,36.301,5.29497,0,13,,0
19782S,19782L,L21,L18+L21,5,150,13,60,19403,36.301,5.29497,120,13,,0
19782T,19782L,L21,L18+L21,6,150,14,70,19403,36.301,5.29497,220,13,,0
19783M,19783L,L18,L18+L21,1,1680,27,60,19403,36.430557,5.356945,120,28,4,5
19783N,19783L,L18,L18+L21,2,1680,28,70,19403,36.430557,5.356945,180,28,4,5
19783O,19783L,L18,L18+L21,3,1680,29,80,19403,36.430557,5.356945,250,28,4,5
19783R,19783L,L21,L18+L21,4,150,#N/A,#N/A,19403,36.430557,5.356945,120,28,,5
19783S,19783L,L21,L18+L21,5,150,#N/A,#N/A,19403,36.430557,5.356945,180,28,,5
19783T,19783L,L21,L18+L21,6,150,#N/A,#N/A,19403,36.430557,5.356945,250,28,,5
19784M,19784L,L18,L18+L21,1,1680,105,580,19403,36.28277,5.40572,50,17,0,6
19784N,19784L,L18,L18+L21,2,1680,106,590,19403,36.28277,5.40572,180,17,0,6
19784O,19784L,L18,L18+L21,3,1680,107,600,19403,36.28277,5.40572,320,17,0,2
19784R,19784L,L21,L18+L21,4,150,105,580,19403,36.28277,5.40572,50,17,,0
19784S,19784L,L21,L18+L21,5,150,106,590,19403,36.28277,5.40572,180,17,,0
19784T,19784L,L21,L18+L21,6,150,107,600,19403,36.28277,5.40572,320,17,,0
19787R,19787L,L21,L21,4,150,76,220,19405,35.81376,5.10064,10,27,,0
19787S,19787L,L21,L21,5,150,77,200,19405,35.81376,5.10064,110,27,,0
19787T,19787L,L21,L21,6,150,498,210,19405,35.81376,5.10064,270,27,,0
19789M,19789L,L18,L18+L21,1,1680,297,240,19403,36.335,5.18045,30,19,3,7
19789N,19789L,L18,L18+L21,2,1680,298,250,19403,36.335,5.18045,120,19,0,5
19789O,19789L,L18,L18+L21,3,1680,299,260,19403,36.335,5.18045,310,19,0,5
19789R,19789L,L21,L18+L21,4,150,297,240,19403,36.335,5.18045,30,19,,0
19789S,19789L,L21,L18+L21,5,150,298,250,19403,36.335,5.18045,120,19,,0
19789T,19789L,L21,L18+L21,6,150,299,260,19403,36.335,5.18045,310,19,,0
19790M,19790L,L18,L18,1,1680,162,600,19402,36.17807,5.45861,0,18,6,2
19790N,19790L,L18,L18,2,1680,163,580,19402,36.17807,5.45861,120,18,0,4
19790O,19790L,L18,L18,3,1680,164,590,19402,36.17807,5.45861,240,18,0,4
19796M,19796L,L18,L18,1,1680,66,60,19402,36.32198,5.63224,40,38,0,2
19796N,19796L,L18,L18,2,1680,67,70,19402,36.32198,5.63224,180,38,0,0
19799M,19799L,L18,L18+L21,1,1680,93,0,19403,36.28982,5.41009,140,27,0,2
19799N,19799L,L18,L18+L21,2,1680,94,10,19403,36.28982,5.41009,240,27,0,2
19799O,19799L,L18,L18+L21,3,1680,95,20,19403,36.28982,5.41009,350,27,0,0
19799R,19799L,L21,L18+L21,4,150,93,0,19403,36.28982,5.41009,140,27,,0
19799S,19799L,L21,L18+L21,5,150,94,10,19403,36.28982,5.41009,240,27,,0
19799T,19799L,L21,L18+L21,6,150,95,20,19403,36.28982,5.41009,350,27,,0
19639M,19639L,L18,L18,1,1680,#N/A,#N/A,19403,36.515,4.915,10,21,0,4
19639N,19639L,L18,L18,2,1680,#N/A,#N/A,19403,36.515,4.915,110,21,0,0
19639O,19639L,L18,L18,3,1680,#N/A,#N/A,19403,36.515,4.915,250,21,0,2
19639R,19639L,L18,L18,4,150,36,11,19403,36.515,4.915,10,21,0,4
19639S,19639L,L18,L18,5,150,37,21,19403,36.515,4.915,110,21,0,0
19639T,19639L,L18,L18,6,150,38,31,19403,36.515,4.915,250,21,0,2
